,author,content,clean tweets,probs
4222,ladygaga,"Bury me as many times as you want. I'm a seed, &amp; before you know it I'll be growing all around you. See you at the LIVESTREAM #artRaveParis",bury many times want im seed amp know ill growing around see livestream araveparis,"[[8.7852549e-04 1.1407209e-03 2.4146782e-03 1.8776538e-02 3.0319390e-03
  1.3250740e-03 9.7243261e-01]]"
4223,cnnbrk,2 Dakota Access Pipeline protesters arrested for unfurling anti-DAPL banner from rafters above Vikings-Bears game… https://t.co/T4JvXZS5Gh,2 dakota access pipeline protesters arrested unfurling antidapl banner rafters vikingsbears game… httpstcot4jvxzs5gh,"[[0.00165698 0.00253149 0.02304659 0.92877936 0.03149102 0.01135287
  0.00114165]]"
4224,ddlovato,Seeing some @Moschino booty... 🇬🇧❤️🍒 #London http://t.co/topCGnAxhu,seeing moschino booty 🇬🇧❤️🍒 london httptcotopcgnaxhu,"[[0.19381055 0.2072025  0.13850003 0.16649058 0.22588621 0.05298119
  0.01512898]]"
4225,jtimberlake,"#ThingsToNeverAskADJ ""Mind if I shout out my boys on the mic??""",thingstoneveraskadj mind shout boys mic,"[[0.35329655 0.3441489  0.0974289  0.01533897 0.17888372 0.01023452
  0.00066847]]"
4226,selenagomez,Bright and early in NY @GMA in the park.  See you soon!! #GMASelena http://t.co/TCg8iQP80D,bright early ny gma park see soon gmaselena httptcotcg8iqp80d,"[[0.14342773 0.16259195 0.15246831 0.23918189 0.24818252 0.04721935
  0.0069282 ]]"
4227,TheEllenShow,This is why there is a #WorldElephantDay https://t.co/5y2G94jwmJ,worldelephantday httpstco5y2g94jwmj,"[[3.63187402e-01 3.51999670e-01 1.15998000e-01 2.74340180e-03
  1.64443627e-01 1.61271589e-03 1.51769245e-05]]"
4228,TheEllenShow,"Aww, you shouldn’t have. https://t.co/gyPREgjoRC",aww shouldn’t httpstcogypregjorc,"[[3.5681346e-01 3.4724554e-01 1.0343043e-01 8.6892582e-03 1.7846468e-01
  5.1983232e-03 1.5830850e-04]]"
4229,katyperry,tbh shakespeare 🎭  https://t.co/cbegran1Nh,tbh shakespeare 🎭 httpstcocbegran1nh,"[[0.01429164 0.01643382 0.01284866 0.02708567 0.02022734 0.00437768
  0.9047352 ]]"
4230,jimmyfallon,We are broadcasting in about 15 minutes. Please enjoy #FallonOrlando,broadcasting 15 minutes please enjoy fallonorlando,"[[3.6799255e-01 3.5367984e-01 1.3319172e-01 6.0013920e-04 1.4417848e-01
  3.5650123e-04 7.5934651e-07]]"
4231,BarackObama,"""The only way the world is going to prevent the effects of climate change is to slow down the warming of the planet."" —President Obama",way world going prevent effects climate change slow warming planet —president obama,"[[0.03363394 0.04332601 0.1025096  0.61962724 0.15628876 0.03952545
  0.00508894]]"
4232,KimKardashian,#STREETSTYLE (NOT SO) BASIC BLACK https://t.co/SpqECbspLZ https://t.co/xQF04XiBNE,streetstyle basic black httpstcospqecbsplz httpstcoxqf04xibne,"[[0.03436049 0.04097755 0.06650625 0.4352498  0.09182341 0.05485203
  0.27623042]]"
4233,jimmyfallon,"Tonight: @DrPhil is here to help Obama &amp; Putin work out their issues. Plus, @vanderjames &amp; great music from @courtneymelba. #FallonTonight",tonight drphil help obama amp putin work issues plus vanderjames amp great music couneymelba fallontonight,"[[5.2345222e-05 7.9113808e-05 5.4055091e-04 1.5054061e-02 5.0153962e-04
  4.2450713e-04 9.8334783e-01]]"
4234,TheEllenShow,"In all fairness, I’m pretty sure they can’t read. http://t.co/RCciOBX8uB",fairness i’m pretty sure can’t read httptcorcciobx8ub,"[[3.25878203e-01 3.29140663e-01 1.14631169e-01 1.00336075e-02
  2.16736451e-01 3.53352004e-03 4.63942706e-05]]"
4235,jtimberlake,Ok... Table tennis is officially my favorite event. #Olympiceventsthatshouldinvolvebeer,ok table tennis officially favorite event olympiceventsthatshouldinvolvebeer,"[[0.00316798 0.0038753  0.00495402 0.01992656 0.00698664 0.00210029
  0.95898926]]"
4236,TheEllenShow,.@BlakeShelton's new children's book sounds interesting. Happy Day 8 of 12 Days! https://t.co/nXrJeDtn2a,blakesheltons new childrens book sounds interesting happy day 8 12 days httpstconxrjedtn2a,"[[0.0872012  0.09792335 0.10855334 0.3857599  0.16016832 0.07870068
  0.08169325]]"
4237,jtimberlake,For the record... I'm officially a Jamey Johnson fan #Countrysingerswhosingtheblues,record im officially jamey johnson fan countrysingerswhosingtheblues,"[[0.26779425 0.28247756 0.13050982 0.0533903  0.24685282 0.01785946
  0.00111584]]"
4238,jtimberlake,20 hours till showtime...,20 hours till showtime,"[[3.5536006e-01 3.4707195e-01 1.2522188e-01 1.8024001e-03 1.6967115e-01
  8.6881779e-04 3.7091461e-06]]"
4239,TheEllenShow,Do not lose out on this performance of Lost Weekend by @PeteYorn. https://t.co/U6hP7zPqJO https://t.co/v2oHxlgLid,lose performance lost weekend peteyorn httpstcou6hp7zpqjo httpstcov2ohxlglid,"[[0.02620119 0.0315729  0.05218757 0.34359223 0.07144431 0.04012979
  0.4348721 ]]"
4240,TheEllenShow,Trying out my new GIF keyboard on Twitter like… #GIFParty https://t.co/6sPffjSqRd,trying new gif keyboard twitter like… gifpay httpstco6spffjsqrd,"[[6.9273498e-05 1.1375896e-04 2.2560866e-03 2.7910215e-01 1.6856418e-03
  4.4394126e-03 7.1233368e-01]]"
4241,KimKardashian,New obsession @sugarbearhair 🐻 I have two a day as part of my hair care routine. They are delish! #sugarbearhair #sp https://t.co/ocK9760KIl,new obsession sugarbearhair 🐻 two day pa hair care routine delish sugarbearhair sp httpstcoock9760kil,"[[3.4820208e-01 3.4359920e-01 1.2052174e-01 3.0913106e-03 1.8322980e-01
  1.3476214e-03 8.3151517e-06]]"
4242,Cristiano,"The team is traveling to play Bayern Munich tonight. Confident of a good result. 
... http://say.ly/xeV3cx",team traveling play bayern munich tonight confident good result httpsaylyxev3cx,"[[0.00257931 0.00333514 0.00810198 0.08017876 0.00995888 0.00574064
  0.8901053 ]]"
4243,KimKardashian,I ❤️having my grandma here to celebrate these moments! My daughter is so lucky to have her greatgrandma here! #Family http://t.co/NqO6Aq821A,❤️having grandma celebrate moments daughter lucky greatgrandma family httptconqo6aq821a,"[[0.00409437 0.00551251 0.02706186 0.8379116  0.0308782  0.04702547
  0.04751601]]"
4244,BarackObama,Deadline tonight—help rein in payday lenders that succeed by targeting vulnerable Americans: https://t.co/7OlpH6OFek #StopTheDebtTrap,deadline tonight—help rein payday lenders succeed targeting vulnerable americans httpstco7olph6ofek stopthedebttrap,"[[0.04127625 0.04873989 0.084985   0.57804877 0.11750111 0.07927258
  0.0501764 ]]"
4245,katyperry,And now a GLOBAL link for ALL! http://t.co/68LkknezIR. I'm so glad you are loving it #UNCONDITIONALLY !,global link httptco68lkknezir im glad loving unconditionally,"[[0.06921877 0.08194155 0.12001736 0.46572846 0.17656639 0.06764168
  0.01888579]]"
4246,cnnbrk,"Search underway for air force plane missing in southern India on Friday morning, Indian military says. https://t.co/DuKYVsjdFi",search underway air force plane missing southern india friday morning indian military says httpstcodukyvsjdfi,"[[0.04033874 0.04936883 0.09456892 0.5908574  0.1327327  0.0679597
  0.02417373]]"
4247,cnnbrk,"German prosecutor on truck attack: ""We possibly need to assume that we have not arrested the right one.""… https://t.co/rIuMIVhIfT",german prosecutor truck attack possibly need assume arrested right one… httpstcoriumivhift,"[[0.20023763 0.21798377 0.14699487 0.14107992 0.24779704 0.04015481
  0.00575181]]"
4248,selenagomez,It's here! Hope you like it! #ComeAndGetItOnVEVO http://t.co/gz6qCiSXFo,hope like comeandgetitonvevo httptcogz6qcisxfo,"[[3.1396419e-01 3.2261950e-01 1.1584832e-01 1.5247679e-02 2.2701272e-01
  5.2090567e-03 9.8489560e-05]]"
4249,ArianaGrande,almooosst https://t.co/6HobWZjNiu,almooosst httpstco6hobwzjniu,"[[0.02211611 0.02774408 0.07037306 0.7006859  0.09522174 0.06051718
  0.02334196]]"
4250,justinbieber,@charli_xcx thanks,charlixcx thanks,"[[0.25935197 0.27749044 0.13659474 0.04395724 0.27147436 0.01082284
  0.00030843]]"
4251,rihanna,"""Everything feels like touchdown on a rainy day"" #brrr http://t.co/g6r56uCr4Y",everything feels like touchdown rainy day brrr httptcog6r56ucr4y,"[[0.00409852 0.00495962 0.00581741 0.02088006 0.00835997 0.00236908
  0.9535154 ]]"
4252,taylorswift13,I'm beginning to think that you don't find happiness from living your life looking ahead or back..that you find it when you look around.,im beginning think dont find happiness living life looking ahead backthat find look around,"[[0.03219676 0.03900593 0.07769483 0.6229722  0.10539206 0.07492528
  0.04781302]]"
4253,TheEllenShow,".@ChrisHemsworth's daughter just wants what her brothers have. And, believe me, it's not what you think. https://t.co/BGfaSkz0Qp",chrishemswohs daughter wants brothers believe think httpstcobgfaskz0qp,"[[3.4041545e-01 3.3846128e-01 1.2675236e-01 2.5050153e-03 1.9094661e-01
  9.1601606e-04 3.3307003e-06]]"
4254,jimmyfallon,Had fun yesterday with @iamrashidajones &amp; @carrieunderwood singing some new holiday songs. #UpAllNightToEatTurkey http://t.co/myrmpP0khH,fun yesterday iamrashidajones amp carrieunderwood singing new holiday songs upallnighttoeatturkey httptcomyrmpp0khh,"[[3.6699143e-01 3.5440823e-01 9.9695556e-02 8.0698654e-03 1.6451171e-01
  6.0555316e-03 2.6765245e-04]]"
4255,instagram,"Rise and shine on a ranch in Colorado #TheWeekOnInstagram 
https://t.co/d14De0VyzA",rise shine ranch colorado theweekoninstagram httpstcod14de0vyza,"[[0.01142459 0.0146412  0.04762845 0.7788472  0.06094626 0.05633517
  0.03017726]]"
4256,ladygaga,"Join me, @BTWFoundation and @Twitter to #KickOffForKindness at the biggest game of the year! https://t.co/HIX2D7SWNL",join btwfoundation twitter kickoffforkindness biggest game year httpstcohix2d7swnl,"[[3.50831300e-01 3.44695717e-01 1.16445415e-01 3.95041052e-03
  1.82202041e-01 1.85847876e-03 1.66056652e-05]]"
4257,justinbieber,@ToriKelly congrats on the Grammy nomination. U got my vote because your dad is good at ping pong. Not as good as me though. Lol,torikelly congrats grammy nomination u got vote dad good ping pong good though lol,"[[0.02051811 0.02526205 0.0602017  0.6858279  0.07880308 0.0713538
  0.05803338]]"
4258,TheEllenShow,"This is me in my Augie sweatshirt from #EDbyEllen, &amp; my dog, Augie. I think this is what the internet calls “meta.” https://t.co/CjKGaVBTXS",augie sweatshi edbyellen amp dog augie think internet calls “meta” httpstcocjkgavbtxs,"[[0.04598201 0.05580506 0.10278995 0.5660164  0.14763843 0.06375874
  0.01800946]]"
4259,BarackObama,TV won't be the same without Dave. http://t.co/9q5NHTf3b5,tv wont without dave httptco9q5nhtf3b5,"[[0.00395314 0.00509043 0.01226796 0.12526602 0.01529531 0.00932658
  0.82880056]]"
4260,TheEllenShow,"Happy Birthday, @HilaryDuff! I just double-checked. I could have sworn it was so yesterday.",happy bihday hilaryduff doublechecked could sworn yesterday,"[[0.00498761 0.00598557 0.00655926 0.02150557 0.00957016 0.002585
  0.9488068 ]]"
4261,britneyspears,@tylergranger17 You’re definitely gonna rock it!! 😎😘 Thank you for donating!,tylergranger17 you’re definitely gonna rock 😎😘 thank donating,"[[0.00122639 0.00156286 0.00280275 0.01766122 0.00366126 0.00140364
  0.97168183]]"
4262,Cristiano,I will try. You all are great. @The_real_GHR @Cristiano Can you celebrate a goal for your twitter fans ?,try great therealghr cristiano celebrate goal twitter fans,"[[0.32494056 0.32767066 0.10748467 0.02187414 0.20705621 0.01045323
  0.00052053]]"
4263,jtimberlake,Congrats to Rafael Nadal! He threw it down tonight! #USOPEN2013,congrats rafael nadal threw tonight usopen2013,"[[3.6515743e-01 3.5296223e-01 1.1389308e-01 3.0390474e-03 1.6304652e-01
  1.8802178e-03 2.1516915e-05]]"
4264,jimmyfallon,Watch NBC right now!!! Fun stuff coming up!!! MADONNA!!! #POTUSonFallon https://t.co/Kf6euEkEpI,watch nbc right fun stuff coming madonna potusonfallon httpstcokf6euekepi,"[[3.85920733e-01 3.63856375e-01 1.35077089e-01 1.97046902e-04
  1.14777416e-01 1.70933665e-04 2.60721379e-07]]"
4265,justinbieber,@theplastol then get ready for #nov13,theplastol get ready nov13,"[[3.3895273e-04 5.0870603e-04 4.9745510e-03 2.9654816e-01 4.4809082e-03
  8.1307897e-03 6.8501788e-01]]"
4266,ladygaga,"For those in need log into https://t.co/SgXW4JIwRl Learn how to treat ure cancer from other fighters, survivors, or… https://t.co/TDY6ykY9P2",need log httpstcosgxw4jiwrl learn treat ure cancer fighters survivors or… httpstcotdy6yky9p2,"[[0.04008159 0.04801928 0.08658979 0.5833977  0.11941473 0.07674633
  0.04575048]]"
4267,katyperry,Got some ting fresh cooking for ya 2morrow... 💅,got ting fresh cooking ya 2morrow 💅,"[[0.14018653 0.15964252 0.15329534 0.24388236 0.25190312 0.04510454
  0.00598556]]"
4268,taylorswift13,Getting ready to play 5 shows at Staples Center in LA this week and reminiscing about what my gigs used to be like. http://t.co/jTk2fZRvII,getting ready play 5 shows staples center la week reminiscing gigs used like httptcojtk2fzrvii,"[[0.09241251 0.10873473 0.14260845 0.3736758  0.22643133 0.04927445
  0.00686279]]"
4269,rihanna,Just posted a photo http://t.co/u8272dDw,posted photo httptcou8272ddw,"[[3.6899465e-01 3.5663965e-01 1.2951596e-01 6.7351031e-04 1.4375967e-01
  4.1532371e-04 1.1250464e-06]]"
4270,instagram,“My idea of ballet is something cool and young and fresh.” —@EricUnderwood1  https://t.co/nxhYp4zohi,“my idea ballet something cool young fresh” —ericunderwood1 httpstconxhyp4zohi,"[[4.9080484e-04 7.3054002e-04 8.7384554e-03 7.7043021e-01 7.7233477e-03
  2.1211991e-02 1.9067472e-01]]"
4271,TheEllenShow,Check out my new neon mugs in the Ellen Shop. I love a bright idea. https://t.co/lpT1myFMfz https://t.co/1McgxGFXlg,check new neon mugs ellen shop love bright idea httpstcolpt1myfmfz httpstco1mcgxgfxlg,"[[0.18591067 0.20979863 0.1609089  0.12062656 0.3023819  0.01959184
  0.00078153]]"
4272,YouTube,@CaseyNeistat Frenchie's a paw-some substitute while you go #voteIRL tomorrow!,caseyneistat frenchies pawsome substitute go voteirl tomorrow,"[[0.10313658 0.12080786 0.14874554 0.33559054 0.2410221  0.0452779
  0.00541946]]"
4273,BarackObama,"""Today we can say in no uncertain terms that we've made our union a little more perfect."" —President Obama #LoveWins",today say unceain terms weve made union little perfect —president obama lovewins,"[[0.18758723 0.20353374 0.14270605 0.17055568 0.23298186 0.05059845
  0.01203697]]"
4274,BarackObama,Solar energy is booming. #ActOnClimate http://t.co/sQ8YnZhOT0,solar energy booming actonclimate httptcosq8ynzhot0,"[[0.09711002 0.11202533 0.13252111 0.3723853  0.20030706 0.06734283
  0.01830832]]"
4275,katyperry,"@BonnieMcKee remember our alt lyric, ""I've got the eye of the Liger?"" Hehe. Congrats baby chee.",bonniemckee remember alt lyric ive got eye liger hehe congrats baby chee,"[[0.00232561 0.00320783 0.01671115 0.48944736 0.01762971 0.02353047
  0.4471478 ]]"
4276,ddlovato,Thank you mama!! 😍😘😘😘 @katyperry,thank mama 😍😘😘😘 katyperry,"[[0.18899313 0.21273941 0.15953764 0.12185568 0.29396668 0.02182815
  0.00107925]]"
4277,ddlovato,Berlin... You were so welcoming and sweet. Miss you already!!! 😝😝😝  #ConfidentOctober16 http://t.co/o9g6qzMBIg,berlin welcoming sweet miss already 😝😝😝 confidentoctober16 httptcoo9g6qzmbig,"[[0.00831147 0.01069164 0.03780716 0.7695847  0.04518944 0.05788671
  0.07052889]]"
4278,instagram,Giving voice to survivors with @Smita_Sharma https://t.co/QexEovLFII,giving voice survivors smitasharma httpstcoqexeovlfii,"[[0.2587037  0.2747697  0.13446538 0.0588909  0.25388363 0.01820174
  0.00108484]]"
4279,TheEllenShow,"If you’re in the L.A. area and you’re great at my game Heads Up!, this could be your lucky day. http://t.co/WX8bItzm5r",you’re la area you’re great game heads could lucky day httptcowx8bitzm5r,"[[0.03023867 0.03620345 0.07129924 0.62175983 0.09561391 0.07807682
  0.06680802]]"
4280,jtimberlake,Proud of you. @Okkenna #SleepWhenWeDie #SongsForFlight http://t.co/H1m3mhQsKS,proud okkenna sleepwhenwedie songsforflight httptcoh1m3mhqsks,"[[0.00209523 0.00286252 0.01279608 0.29147494 0.01380916 0.01477389
  0.6621882 ]]"
4281,BarackObama,Guess who has a birthday coming up? (Hint: It's #44.) http://t.co/3YdVzP2R5M http://t.co/GKsWzH4T0T,guess bihday coming hint 44 httptco3ydvzp2r5m httptcogkswzh4t0t,"[[0.02469767 0.02775904 0.01813849 0.02958331 0.02963217 0.00564331
  0.864546  ]]"
4282,YouTube,It’s Friday the 13th and we got your soundtrack right here → https://t.co/JxW986Ws6B 😱 😱 😱 https://t.co/VFUchHb3qq,it’s friday 13th got soundtrack right → httpstcojxw986ws6b 😱 😱 😱 httpstcovfuchhb3qq,"[[0.1286138  0.14950737 0.15932575 0.2524595  0.27207115 0.0351755
  0.00284693]]"
4283,jtimberlake,"Happy Birthday to my great friend, @TommyLasorda !! 86 years young!! I want to be you when I grow up!!",happy bihday great friend tommylasorda 86 years young want grow,"[[3.6018074e-01 3.5116503e-01 1.1676861e-01 2.7367624e-03 1.6761824e-01
  1.5176043e-03 1.3070146e-05]]"
4284,TheEllenShow,No words for this. https://t.co/ZlsFF1hXlL,words httpstcozlsff1hxll,"[[0.1133787  0.12547591 0.1243204  0.33234966 0.18749559 0.07706776
  0.03991205]]"
4285,rihanna,"""Aunty change this World Cup back to cartoons NOW"" http://t.co/PjbRv2nkpo",aunty change world cup back caoons httptcopjbrv2nkpo,"[[0.22372705 0.23481053 0.13291904 0.12552458 0.22149107 0.04710775
  0.01442001]]"
4286,taylorswift13,Shooting a music video in Paris today... (always wanted to say that!!),shooting music video paris today always wanted say,"[[0.0118735  0.01505575 0.04289166 0.6200955  0.05285546 0.05152027
  0.20570782]]"
4287,ladygaga,So much girl fun! 👄. https://t.co/HQV6xhWGBR,much girl fun 👄 httpstcohqv6xhwgbr,"[[0.14739612 0.17062783 0.16261604 0.2026579  0.28376055 0.03074069
  0.00220091]]"
4288,KimKardashian,I loved visiting Armenia and can't wait to go back!  https://t.co/RW4Hk6Gxra,loved visiting armenia cant wait go back httpstcorw4hk6gxra,"[[3.5853732e-01 3.5008657e-01 1.2386466e-01 1.6790697e-03 1.6496314e-01
  8.6526026e-04 4.0136788e-06]]"
4289,Cristiano,@SiwarMh I guess it is! Have a great day.,siwarmh guess great day,"[[0.04872746 0.05362055 0.03094696 0.04162712 0.05178244 0.00944475
  0.76385075]]"
4290,BarackObama,Happening now: President Obama discusses taking action against ISIL. http://t.co/HarnB4wWMb,happening president obama discusses taking action isil httptcoharnb4wwmb,"[[3.7749684e-01 3.6083129e-01 1.1986535e-01 1.0901809e-03 1.3988702e-01
  8.2412513e-04 5.1320199e-06]]"
4291,jtimberlake,"Yessir! 

#CantStopTheFeeling  https://t.co/5VdiB8Piid",yessir cantstopthefeeling httpstco5vdib8piid,"[[0.05117606 0.05831247 0.05326919 0.14570202 0.08180094 0.02573653
  0.5840028 ]]"
4292,KimKardashian,Pablo Merch pop up shop in NYC all weekend!!! 83 Wooster!!! https://t.co/v4DX8sH00I,pablo merch pop shop nyc weekend 83 wooster httpstcov4dx8sh00i,"[[0.22437224 0.23818035 0.13831449 0.11687375 0.23419224 0.04054196
  0.00752497]]"
4293,ladygaga,Heading now to my foundation btwfoundation and YALE Emotion Revolution event I am so excited to see… https://t.co/gnCaoYXE15,heading foundation btwfoundation yale emotion revolution event excited see… httpstcogncaoyxe15,"[[0.09019559 0.10490248 0.13171723 0.39226374 0.19851135 0.06580353
  0.01660616]]"
4294,ArianaGrande,first outdoor show &amp; of course there's a thunderstorm from HELL..... PRAYING THEY LET ME BACK ON STAGE. I NEEDA FINISH THIS SHOW FOR MY BBS.,first outdoor show amp course theres thunderstorm hell praying let back stage needa finish show bbs,"[[0.00288478 0.00393069 0.02220094 0.7892309  0.02347507 0.04070188
  0.11757568]]"
4295,justinbieber,This was the best performance @TODAYshow thanks http://t.co/9d6OKFaUAF,best performance todayshow thanks httptco9d6okfauaf,"[[0.14024395 0.15423985 0.13551708 0.2673007  0.2103552  0.06731116
  0.0250321 ]]"
4296,jtimberlake,#MusicMonday - Check out @Esmeeworld 's new video for ‘Love Dealer’. Premieres Wed on Vevo! http://bit.ly/lovedealer,musicmonday check esmeeworld new video ‘love dealer’ premieres wed vevo httpbitlylovedealer,"[[0.02466246 0.03004562 0.06068896 0.5468427  0.08046169 0.0601854
  0.1971132 ]]"
4297,selenagomez,So excited!!!!! performing Who Says for the first time tonight at the Concert for Hope. http://fb.me/VmgeVIqa,excited performing says first time tonight conce hope httpfbmevmgeviqa,"[[0.1405528  0.15736851 0.14521728 0.25786084 0.23074637 0.05689363
  0.01136065]]"
4298,jimmyfallon,I had a summer job doing yard work in 100-degree heat. Boss told me to go buy mulch. I never came back. #HowIQuit,summer job yard work 100degree heat boss told go buy mulch never came back howiquit,"[[0.02729238 0.03304501 0.06412268 0.54159695 0.08557718 0.06216099
  0.18620479]]"
4299,instagram,“My life is an attempt to reach out to the art.” —Darya Morgachyova,“my life attempt reach a” —darya morgachyova,"[[0.09633137 0.11205817 0.13871492 0.369421   0.21493249 0.05758977
  0.01095233]]"
4300,jtimberlake,"Friday, July 12, 2013 at 9:01am PT...",friday july 12 2013 901am pt,"[[3.42514426e-01 3.38403881e-01 1.05554834e-01 1.13130584e-02
  1.96691707e-01 5.38377184e-03 1.38298943e-04]]"
4301,cnnbrk,"HIV-positive man who says he gets paid to have sex with children has been arrested in Malawi, officials say. https://t.co/qBb4TZig6F",hivpositive man says gets paid sex children arrested malawi officials say httpstcoqbb4tzig6f,"[[3.5858876e-01 3.4849679e-01 1.0750110e-01 6.1991853e-03 1.7551298e-01
  3.6259566e-03 7.5245502e-05]]"
4302,instagram,“I get so awe-inspired when I look at the stars and sky...the beauty in our world.” –Rob Simonsen #AstronomyDay https://t.co/g7QS4GTH15,“i get aweinspired look stars skythe beauty world” –rob simonsen astronomyday httpstcog7qs4gth15,"[[4.6639360e-04 6.3399103e-04 2.0563516e-03 2.7470376e-02 2.3347584e-03
  1.4426473e-03 9.6559548e-01]]"
4303,instagram,Participate in this weekend's hashtag project! #WHPhiddenbeauty https://t.co/v0cv0guE0x https://t.co/CJdflIH7fy,paicipate weekends hashtag project whphiddenbeauty httpstcov0cv0gue0x httpstcocjdflih7fy,"[[9.5734670e-04 1.2578152e-03 3.0638948e-03 2.8917832e-02 3.7427272e-03
  1.8925018e-03 9.6016794e-01]]"
4304,katyperry,"http://t.co/fYyazdKXQv ""And if I lose my mental just hold my hand even if you don't understand""",httptcofyyazdkxqv lose mental hold hand even dont understand,"[[3.34348142e-01 3.33137751e-01 1.14358746e-01 7.88705889e-03
  2.07262784e-01 2.97126477e-03 3.41862942e-05]]"
4305,britneyspears,Let me know if you’re going to the #PieceOfMe Halloween show &amp; dressing up! Looking for someone to come backstage &amp; take a pic! #Britneyween,let know you’re going pieceofme halloween show amp dressing looking someone come backstage amp take pic britneyween,"[[0.01466154 0.01766157 0.0246603  0.12160876 0.03459913 0.01425293
  0.7725558 ]]"
4306,katyperry,"I reminded cinderella that all this ends at midnight, she was not thrilled. @ Disneyland https://t.co/hFoKYWhVwb",reminded cinderella ends midnight thrilled disneyland httpstcohfokywhvwb,"[[0.001203   0.00153936 0.00286509 0.01906861 0.00372131 0.00148104
  0.97012156]]"
4307,cnnbrk,"Standoff ends: 2 men took priest, 2 nuns, 2 churchgoers hostage in France, CNN affiliate BFMTV says. https://t.co/5H6DahQMyk",standoff ends 2 men took priest 2 nuns 2 churchgoers hostage france cnn affiliate bfmtv says httpstco5h6dahqmyk,"[[0.00101873 0.00141515 0.00671769 0.15731807 0.00707597 0.00716701
  0.81928736]]"
4308,ddlovato,That awkward moment when people freak out because you didn't tweet the right lyrics to the new Beyoncé song... 👀,awkward moment people freak didnt tweet right lyrics new beyoncé song 👀,"[[0.07122548 0.08113162 0.10380907 0.44560796 0.14915372 0.0828943
  0.06617785]]"
4309,ladygaga,In NY safe &amp;sound saying big prayers for my friends in Chelsea. Everyone be safe.  We New Yorkers always stick together. #ChelseaExplosion,ny safe ampsound saying big prayers friends chelsea everyone safe new yorkers always stick together chelseaexplosion,"[[3.6627486e-01 3.5293928e-01 9.9294677e-02 8.8277198e-03 1.6574669e-01
  6.6067879e-03 3.1003260e-04]]"
4310,TheEllenShow,"Happy birthday, @IggyAzalea! You are one of the fanciest people out there. Obviously, you already know.",happy bihday iggyazalea one fanciest people obviously already know,"[[2.6801455e-01 2.8653920e-01 1.3342158e-01 3.5065673e-02 2.6804537e-01
  8.7091513e-03 2.0445189e-04]]"
4311,TheEllenShow,Hard to tell who’s more excited. https://t.co/OO9yLXzAcA,hard tell who’s excited httpstcooo9ylxzaca,"[[2.7224684e-01 2.9221022e-01 1.3162135e-01 3.1208476e-02 2.6456794e-01
  7.9647023e-03 1.8053180e-04]]"
4312,britneyspears,How adorable is @danicohnsumodel?!! ❤️❤️❤️ her #SlumberParty musical.ly! https://t.co/3dn1HEPQa2,adorable danicohnsumodel ❤️❤️❤️ slumberpay musically httpstco3dn1hepqa2,"[[0.04130702 0.04883748 0.08397379 0.5704445  0.11560881 0.08037834
  0.05945006]]"
4313,cnnbrk,"Actress and author Carrie Fisher, best known for role in ""Star Wars"" series, has died, her daughter's publicist say… https://t.co/5L2bsqwRkC",actress author carrie fisher best known role star wars series died daughters publicist say… httpstco5l2bsqwrkc,"[[0.01442739 0.01823658 0.05262816 0.7467326  0.06789859 0.06249805
  0.03757859]]"
4314,ddlovato,SO proud to see how far @DNCE and @JoeJonas have come!! Go get their debut album out now 😘 https://t.co/CSk2mmQnwi,proud see far dnce joejonas come go get debut album 😘 httpstcocsk2mmqnwi,"[[8.4145879e-04 1.0838788e-03 2.0698563e-03 1.3841059e-02 2.6572475e-03
  1.0293872e-03 9.7847718e-01]]"
4315,jimmyfallon,"Congrats to Croatian tennis player Marin Cilic, who won the U.S. Open yesterday. Even Marin Cilic said, “Who?” #fallonmono",congrats croatian tennis player marin cilic us open yesterday even marin cilic said “who” fallonmono,"[[0.01003402 0.01272486 0.04145052 0.74227124 0.04975496 0.06026569
  0.08349866]]"
4316,TheEllenShow,"There were so many spectacular signs at the #WomensMarch. If you have a favorite, I wanna see it! #4Ellen",many spectacular signs womensmarch favorite wanna see 4ellen,"[[0.00161885 0.00226779 0.01683577 0.8651038  0.01704416 0.03624152
  0.06088817]]"
4317,Twitter,Incredibly simple. @anywhere http://blog.twitter.com/2010/03/anywhere.html,incredibly simple anywhere httpblogtwittercom201003anywherehtml,"[[0.03574261 0.04267422 0.07975975 0.60403824 0.10910527 0.07759178
  0.05108812]]"
4318,ArianaGrande,@alexaluria I miss you........... so much,alexaluria miss much,"[[0.0045942  0.00610929 0.0280192  0.77792144 0.03124687 0.0471409
  0.10496813]]"
4319,jtimberlake,Damn... They done did it again. @theshadowboxers: https://t.co/wFSGK5Ncay”,damn done theshadowboxers httpstcowfsgk5ncay”,"[[0.00100855 0.00130344 0.00266442 0.01982468 0.00337813 0.00144142
  0.9703793 ]]"
4320,Twitter,"#IfGagaRanTwitter, she'd be the CMO: Chief Monster Officer. cc/ @LadyGaga",ifgagarantwitter shed cmo chief monster officer cc ladygaga,"[[0.01548622 0.01828886 0.01978045 0.06811676 0.02931801 0.00929779
  0.8397119 ]]"
4321,YouTube,@Merseyman41 You are the coolest family. What an awesome cake!,merseyman41 coolest family awesome cake,"[[0.00440587 0.00531366 0.00605536 0.02089654 0.00875741 0.00242709
  0.952144  ]]"
4322,jimmyfallon,did someone say HASHTAG???? #BestOfFallon,someone say hashtag bestoffallon,"[[0.05276309 0.06553245 0.12479888 0.5158336  0.19545186 0.04110648
  0.00451366]]"
